565 :r20130110_OK
565 :r20130110_OK
565 :r20130110_OK
565 :r20130110_OK
565 :r20130110_OK
565 :r20130110_OK
566 :r20130110_OK
568 :r20130110_OK
568 :r20130110_OK
568 :r20130110_OK
569 :r20130110_OK
570 :r20130110_OK
571 :r20130110_OK
572 :r20130110_OK
573 :r20130110_OK
574 :r20130110_OK
575 :r20130110_OK
576 :r20130110_OK
577 :r20130110_OK
578 :r20130110_OK
579 2013-07-29T10:30:08+02:00 :r20130110_OK
580 2013-07-29T10:45:18+02:00 :r20130110_OK
581 2013-07-29T11:00:12+02:00 :r20130110_OK
582 2013-07-29T11:15:11+02:00 :r20130110_OK
583 2013-07-29T11:30:19+02:00 :r20130110_OK
584 2013-07-29T11:45:11+02:00 :r20130110_OK
585 2013-07-29T12:00:25+02:00 :r20130110_OK
586 2013-07-29T12:15:12+02:00 :r20130110_OK
587 2013-07-29T12:30:19+02:00 :r20130110_OK
588 2013-07-29T12:45:19+02:00 :r20130110_OK
589 2013-07-29T13:00:10+02:00 :r20130110_OK
590 2013-07-29T13:15:10+02:00 :r20130110_OK
591 2013-07-29T13:30:19+02:00 :r20130110_OK
592 2013-07-29T13:45:10+02:00 :r20130110_OK
593 2013-07-29T14:00:10+02:00 :r20130110_OK
594 2013-07-29T14:15:12+02:00 :r20130110_OK
595 2013-07-29T14:30:19+02:00 :r20130110_OK
596 2013-07-29T14:45:10+02:00 :r20130110_OK
597 2013-07-29T15:00:09+02:00 :r20130110_OK
598 2013-07-29T15:15:09+02:00 :r20130110_OK
599 2013-07-29T15:30:09+02:00 :r20130110_OK
600 2013-07-29T15:45:08+02:00 :r20130110_OK
601 2013-07-29T16:00:08+02:00 :r20130110_OK
602 2013-07-29T16:15:09+02:00 :r20130110_OK
603 2013-07-29T16:30:09+02:00 :r20130110_OK
604 2013-07-29T16:45:08+02:00 :r20130110_OK
605 2013-07-29T17:00:08+02:00 :r20130110_OK
606 2013-07-29T17:15:08+02:00 :r20130110_OK
607 2013-07-29T17:30:08+02:00 :r20130110_OK
608 2013-07-29T17:45:09+02:00 :r20130110_OK
609 2013-07-29T18:00:09+02:00 :r20130110_OK
610 2013-07-29T18:15:11+02:00 :r20130110_OK
611 2013-07-29T18:30:15+02:00 :r20130110_OK
612 2013-07-29T18:45:09+02:00 :r20130110_OK
613 2013-07-29T19:00:19+02:00 :r20130110_OK
614 2013-07-29T19:15:10+02:00 :r20130110_OK
615 2013-07-29T19:30:11+02:00 :r20130110_OK
616 2013-07-29T19:45:14+02:00 :r20130110_OK
617 2013-07-29T20:00:11+02:00 :r20130110_OK
618 2013-07-29T20:15:10+02:00 :r20130110_OK
619 2013-07-29T20:30:10+02:00 :r20130110_OK
620 2013-07-29T20:45:14+02:00 :r20130110_OK
621 2013-07-29T21:00:20+02:00 :r20130110_OK
622 2013-07-29T21:15:11+02:00 :r20130110_OK
623 2013-07-29T21:30:19+02:00 :r20130110_OK
624 2013-07-29T21:45:10+02:00 :r20130110_OK
625 2013-07-29T22:00:09+02:00 :r20130110_OK
626 2013-07-29T22:15:18+02:00 :r20130110_OK
627 2013-07-29T22:30:20+02:00 :r20130110_OK
628 2013-07-29T22:45:11+02:00 :r20130110_OK
629 2013-07-29T23:00:09+02:00 :r20130110_OK
630 2013-07-29T23:15:10+02:00 :r20130110_OK
631 2013-07-29T23:30:19+02:00 :r20130110_OK
632 2013-07-30T06:00:14+02:00 :r20130110_OK
633 2013-07-30T06:15:21+02:00 :r20130110_OK
634 2013-07-30T06:30:10+02:00 :r20130110_OK
635 2013-07-30T06:45:08+02:00 :r20130110_OK
636 2013-07-30T07:00:08+02:00 :r20130110_OK
637 2013-07-30T07:15:09+02:00 :r20130110_OK
638 2013-07-30T07:30:11+02:00 :r20130110_OK
639 2013-07-30T07:45:11+02:00 :r20130110_OK
640 2013-07-30T08:00:11+02:00 :r20130110_OK
641 2013-07-30T08:15:25+02:00 :r20130110_OK
642 2013-07-30T08:30:10+02:00 :r20130110_OK
643 2013-07-30T08:45:13+02:00 :r20130110_OK
644 2013-07-30T09:00:21+02:00 :r20130110_OK
645 2013-07-30T09:15:17+02:00 :r20130110_OK
646 2013-07-30T09:30:08+02:00 :r20130110_OK
647 2013-07-30T09:45:09+02:00 :r20130110_OK
648 2013-07-30T22:00:12+02:00 :r20130110_OK
649 2013-07-30T22:15:10+02:00 :r20130110_OK
650 2013-07-30T22:30:15+02:00 :r20130110_OK
651 2013-07-30T22:45:16+02:00 :r20130110_OK
652 2013-07-30T23:00:17+02:00 :r20130110_OK
653 2013-07-30T23:15:10+02:00 :r20130110_OK
654 2013-07-30T23:30:10+02:00 :r20130110_OK
655 2013-07-30T23:45:11+02:00 :r20130110_OK
656 2013-07-31T00:00:20+02:00 :r20130110_OK
657 2013-07-31T00:15:19+02:00 :r20130110_OK
658 2013-07-31T07:30:10+02:00 :r20130110_OK
659 2013-07-31T07:45:09+02:00 :r20130110_OK
660 2013-07-31T08:00:09+02:00 :r20130110_OK
661 2013-07-31T08:15:14+02:00 :r20130110_OK
662 2013-07-31T08:30:09+02:00 :r20130110_OK
663 2013-07-31T08:45:15+02:00 :r20130110_OK
664 2013-07-31T09:00:09+02:00 :r20130110_OK
665 2013-07-31T09:15:14+02:00 :r20130110_OK
666 2013-07-31T09:30:10+02:00 :r20130110_OK
667 2013-07-31T09:45:08+02:00 :r20130110_OK
668 2013-07-31T19:00:10+02:00 :r20130110_OK
669 2013-07-31T19:45:09+02:00 :r20130110_OK
670 2013-07-31T20:00:08+02:00 :r20130110_OK
671 2013-07-31T20:15:09+02:00 :r20130110_OK
672 2013-07-31T20:30:08+02:00 :r20130110_OK
673 2013-07-31T20:45:09+02:00 :r20130110_OK
674 2013-07-31T21:00:09+02:00 :r20130110_OK
675 2013-07-31T21:15:09+02:00 :r20130110_OK
676 2013-07-31T21:30:10+02:00 :r20130110_OK
677 2013-07-31T21:45:16+02:00 :r20130110_OK
678 2013-07-31T22:00:12+02:00 :r20130110_OK
679 2013-07-31T22:15:10+02:00 :r20130110_OK
680 2013-07-31T22:30:09+02:00 :r20130110_OK
